id,name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,preview_url,isrc,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features_fetched_at,created_at,updated_at,deezer_track_id,apple_track_id,mb_recording_mbid,gain,genre_primary,genre_tags,derived_valence,derived_energy,last_enriched_at,meta_provider,bpm,artist_name,album_image_url
36mGQaqY8aAJymroskFw9B,Untitled 01,,Untitled 01,,330220,,false,,QZHN82364145,https://i.scdn.co/image/ab67616d0000b2737b28c6aef2993b98a7d4ad51,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,2233710717,,,-10.3,Electro,"[""Electro"",""Dance""]",,,2025-09-09 22:27:29.76+00,"{""spotify_track"": true}",0,Leod,https://i.scdn.co/image/ab67616d0000b2737b28c6aef2993b98a7d4ad51
37e1f8OLbK1pcdleTQ5A3O,Defy Gravity,,Defy Gravity,,210535,,false,,GBZHR2500442,https://i.scdn.co/image/ab67616d0000b273907c3d936805ffd092796007,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3358399361,,,-11.3,Electro,"[""house"",""deep house"",""electronic"",""germany"",""dang"",""hella dope"",""funk_add_to_lidarr_1"",""funk_add_to_lidarr_batch_24"",""Electro""]",,0.7,2025-09-07 19:41:50.283+00,"{""spotify_track"": true}",0,Session Victim,https://i.scdn.co/image/ab67616d0000b273907c3d936805ffd092796007
37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,,Dire Straits,,348400,,false,,GBF089601041,https://i.scdn.co/image/ab67616d0000b273b49d49cc95564aede7998bb8,,,,,,,,,,,148.190,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,2263033,,,-14.2,Rock,"[""classic rock"",""rock"",""80s"",""dire straits"",""guitar"",""blues rock"",""70s"",""blues"",""Rock""]",,0.7,2025-09-07 19:41:54.318+00,"{""spotify_track"": true}",148.19,Dire Straits,https://i.scdn.co/image/ab67616d0000b273b49d49cc95564aede7998bb8
3cWOGAKRjJ5YuswXTas1EJ,Playhouse,,Playhouse,,209997,,false,,GBK6Y2320601,https://i.scdn.co/image/ab67616d0000b273f51a92d812e4cb3d93717cf7,,,,,,,,,,,0.000,,,2025-09-13 18:30:02.886268+00,2025-09-13 18:30:02.886268+00,2208565297,,,-10.3,,,,,2025-09-13 18:40:31.322+00,"{""lastfm"": {""ok"": true, ""track"": ""Playhouse"", ""artist"": ""Charlie Iapicone"", ""tagsFetched"": 0}}",0,"Charlie Iapicone, Len Vitz",https://i.scdn.co/image/ab67616d0000b273f51a92d812e4cb3d93717cf7
3fbKGGYiEwJBVysVH5eLha,Alloriaqigit,,TAKKUUK (Original Soundtrack),,281835,,false,,GBCFB2500313,https://i.scdn.co/image/ab67616d0000b273bb9397721686bfc8c6fc6981,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,3443537881,,,-11.7,Electro,"[""Electro""]",,,2025-09-09 22:27:34.054+00,"{""spotify_track"": true}",0,"BICEP, Sebastian Enequist",https://i.scdn.co/image/ab67616d0000b273bb9397721686bfc8c6fc6981
3fyCQcrC9FiDWWD3uP2QwD,Resonate,,Reflection,,276125,,false,,QM24S2103279,https://i.scdn.co/image/ab67616d0000b2735cfa0a2c78a4af941cdff242,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,1660061352,,,-10.8,Electro,"[""electronic"",""house"",""dance"",""techno"",""edm"",""anjunadeep"",""germany"",""funk_add_to_lidarr_batch_22"",""Electro""]",0.4,0.75,2025-09-09 22:27:33.434+00,"{""spotify_track"": true}",0,Rezident,https://i.scdn.co/image/ab67616d0000b2735cfa0a2c78a4af941cdff242
3h7aoPHmsUadRWUK0wsic4,Barz Simpson,,White Girl Wasted,,214946,,false,,US25X2202668,https://i.scdn.co/image/ab67616d0000b273fa1f4fbb44dc44aef3c6ec08,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,2349413355,,,-10.6,Rap/Hip Hop,"[""all"",""funk"",""hip-hop"",""rap"",""trap"",""Rap/Hip Hop""]",0.55,0.65,2025-09-09 22:27:32.179+00,"{""spotify_track"": true}",0,"Sonnyjim, The Purist, MF DOOM, Jay Electronica",https://i.scdn.co/image/ab67616d0000b273fa1f4fbb44dc44aef3c6ec08
3Lg9PtxYQUni1zbFGl0CaV,i just need somebody - Radio Edit,,i just need somebody (Radio Edit),,131522,,false,,QZTAU2467210,https://i.scdn.co/image/ab67616d0000b273eab75af6cccb5452bb104771,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,2901000081,,,-11.2,Electro,"[""house"",""band"",""pop rock"",""pop-rock"",""underground"",""deep house"",""Electro"",""Dance""]",,0.7,2025-09-07 19:41:49.151+00,"{""spotify_track"": true}",0,"DJibouti, QUASAR",https://i.scdn.co/image/ab67616d0000b273eab75af6cccb5452bb104771
3oCENTuQyoJVoLSgnXRP5Y,Be Mine,,Be Mine,,128840,,false,,GX3Q92372415,https://i.scdn.co/image/ab67616d0000b273df8771270a4306ab2582ff69,,,,,,,,,,,0.000,,,2025-09-12 18:32:36.299244+00,2025-09-12 18:32:36.299244+00,2211905997,,,-9.3,,,,,2025-09-13 18:40:30.344+00,"{""spotify_track"": true}",0,Callum George,https://i.scdn.co/image/ab67616d0000b273df8771270a4306ab2582ff69
3whmx5Ptrqzx2c101FJFi3,Help Me Lose My Mind,,Settle (Deluxe Version),,244174,,false,,GBUM71302630,https://i.scdn.co/image/ab67616d0000b273d3462d1395189dc76a326031,,,,,,,,,,,109.100,,,2025-09-08 20:44:04.208472+00,2025-09-08 20:44:04.208472+00,67563961,,,-8.5,Electro,"[""electronic"",""uk garage"",""house"",""future garage"",""dubstep"",""deep house"",""uk funky"",""rhythmic noise"",""Electro""]",,0.7,2025-09-08 23:30:22.369+00,"{""spotify_track"": true}",109.1,"Disclosure, London Grammar",https://i.scdn.co/image/ab67616d0000b273d3462d1395189dc76a326031
